Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.343861,0.753543,2.19142,0.0894897,1.36811,15.288
3,0.435503,0.525934,1.20765,0.179687,1.26989,7.06723
5,0.212432,0.487882,2.29666,0.179687,1.26228,7.02491
6,0.429218,0.429761,1.00126,0.482921,1.21896,2.52413
8,0.218442,0.43302,1.98231,0.179687,1.24845,6.94795
13,0.403814,0.431737,1.06915,0.482921,1.21896,2.52413
14,0.26131,0.424076,1.62288,0.179687,1.26228,7.02491
16,0.377232,0.401069,1.06319,0.179687,1.24845,6.94795
18,0.339578,0.367623,1.08259,0.179687,1.24845,6.94795
20,0.279226,0.348524,1.24818,0.482921,1.21896,2.52413
22,0.142558,0.181741,1.27485,0.482921,1.21896,2.52413
23,0.303916,0.344426,1.1333,0.482921,1.21896,2.52413
24,0.275771,0.281869,1.02211,0.482921,1.21896,2.52413
25,0.196108,0.336106,1.71388,0.179687,1.24845,6.94795
