Cluster, Core Distance
0,0.587507,
2,0.416026,
3,0.366037,
9,0.34648,
11,0.358788,
12,0.530575,
13,0.419952,
14,0.497394,
17,0.434086,
19,0.401929,
21,0.466031,
28,0.385625,
29,0.383872,
30,0.38141,
31,0.386456,
33,0.355181,
38,0.377236,
41,0.401963,
42,0.380582,
43,0.430323,
48,0.393964,
51,0.47296,
52,0.443437,
53,0.44775,
54,0.486324,
56,0.414356,
59,0.405389,
63,0.42233,
64,0.370927,
65,0.369676,
66,0.351194,
67,0.398609,
70,0.473427,
75,0.493538,
76,0.334545,
78,0.423526,
79,0.48522,
80,0.351183,
81,0.464139,
82,0.399187,
84,0.448133,
85,0.404409,
