minPts, Num Clusters
3,144,
4,56,
5,5,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,7,
14,7,
15,7,
16,6,
17,7,
18,4,
19,4,
20,4,
21,5,
22,4,
23,4,
24,4,
25,4,
26,4,
27,4,
28,4,
29,4,
30,4,
