Cluster, Core Distance
0,0.576553,
2,0.365246,
3,0.391616,
4,0.401368,
6,0.450326,
8,0.372721,
11,0.378093,
15,0.428271,
19,0.381043,
20,0.398419,
22,0.430625,
25,0.398888,
26,0.33658,
28,0.414959,
31,0.387407,
34,0.399988,
37,0.418934,
38,0.382812,
39,0.455462,
41,0.365246,
42,0.465365,
44,0.409531,
46,0.376332,
48,0.378877,
50,0.406022,
51,0.377773,
53,0.380926,
54,0.378831,
57,0.413933,
58,0.364609,
59,0.360631,
60,0.488338,
63,0.425149,
64,0.496355,
67,0.404293,
70,0.470392,
76,0.418935,
77,0.356378,
78,0.417511,
79,0.41981,
80,0.393602,
81,0.409414,
