Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.370062,0.703419,1.90081,0.0326298,1.38632,42.4863
2,0.379246,0.53683,1.41552,0.0326298,0.613704,18.8081
5,0.249988,0.426764,1.70714,0.0326298,0.613704,18.8081
6,0.414886,0.461334,1.11195,0.0326298,1.14827,35.191
9,0.159329,0.444324,2.78872,0.0326298,1.03369,31.6792
10,0.41189,0.435797,1.05804,0.0326298,1.03369,31.6792
14,0.369015,0.406363,1.10121,0.0326298,0.613704,18.8081
16,0.359964,0.446096,1.23928,0.0326298,1.03369,31.6792
20,0.417773,0.440389,1.05413,0.0326298,1.03369,31.6792
21,0.330326,0.362681,1.09795,0.0326298,0.613704,18.8081
25,0.388313,0.408413,1.05176,0.0326298,0.613704,18.8081
26,0.374186,0.409874,1.09538,0.0326298,0.613704,18.8081
29,0.365845,0.419135,1.14566,0.0326298,1.14827,35.191
33,0.401274,0.411259,1.02488,0.0326298,0.613704,18.8081
34,0.236561,0.345132,1.45896,0.0326298,0.613704,18.8081
36,0.335447,0.410481,1.22368,0.0326298,0.613704,18.8081
37,0.30308,0.399275,1.31739,0.0326298,1.03369,31.6792
38,0.329017,0.40367,1.2269,0.0326298,1.19155,36.5171
39,0.338543,0.403017,1.19045,0.0326298,1.03369,31.6792
40,0.375437,0.382788,1.01958,0.0326298,0.613704,18.8081
44,0.30599,0.385541,1.25998,0.0326298,1.03369,31.6792
45,0.353872,0.386083,1.09102,0.0326298,1.09149,33.4506
47,0.113941,0.371049,3.25649,0.0326298,1.14827,35.191
48,0.312505,0.370962,1.18706,0.0326298,1.09149,33.4506
49,0.222658,0.34368,1.54354,0.0326298,1.03369,31.6792
