Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.376334,0.872269,2.3178,0.0811949,1.31126,16.1496
3,0.156158,0.453387,2.90338,0.319834,1.14906,3.59267
5,0.386982,0.470375,1.21549,0.333531,0.633968,1.90078
6,0.28026,0.413364,1.47493,0.333531,0.633968,1.90078
8,0.243195,0.437927,1.80072,0.2266,1.14906,5.07086
10,0.290422,0.418393,1.44064,0.333531,1.03427,3.10098
13,0.333531,0.376787,1.12969,0.333531,1.14906,3.44513
16,0.365516,0.429582,1.17527,0.319834,1.14906,3.59267
17,0.320122,0.423813,1.32391,0.333531,1.14906,3.44513
20,0.333015,0.4035,1.21166,0.333531,0.633968,1.90078
21,0.371424,0.40846,1.09971,0.319834,1.14906,3.59267
23,0.220942,0.34247,1.55005,0.333531,1.03427,3.10098
24,0.24979,0.378766,1.51633,0.333531,1.03427,3.10098
25,0.346941,0.375895,1.08346,0.333531,0.633968,1.90078
