Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.189161,0.457453,2.41833,0.0852392,1.26747,14.8695
3,0.224735,0.290835,1.29413,0.259918,0.510863,1.96548
4,0.148035,0.183224,1.23771,0.383386,0.510863,1.3325
6,0.211629,0.28515,1.3474,0.383386,0.510863,1.3325
9,0.235238,0.280376,1.19188,0.383386,0.510863,1.3325
11,0.244276,0.263504,1.07872,0.39493,0.510863,1.29355
13,0.238125,0.27147,1.14003,0.259918,0.510863,1.96548
14,0.265638,0.269763,1.01553,0.383386,0.510863,1.3325
16,0.259687,0.267062,1.0284,0.39493,0.510863,1.29355
18,0.189381,0.250425,1.32234,0.259918,0.510863,1.96548
20,0.256855,0.271082,1.05539,0.39493,0.510863,1.29355
23,0.25757,0.273569,1.06211,0.259918,0.814811,3.13488
24,0.25759,0.267545,1.03864,0.39493,0.510863,1.29355
26,0.213765,0.266187,1.24523,0.259918,0.510863,1.96548
28,0.264476,0.271382,1.02611,0.39493,0.510863,1.29355
30,0.237426,0.269811,1.1364,0.259918,0.510863,1.96548
33,0.258523,0.269124,1.041,0.259918,0.510863,1.96548
34,0.230653,0.268749,1.16517,0.259918,0.755158,2.90537
36,0.235218,0.25889,1.10064,0.259918,0.510863,1.96548
39,0.221516,0.262534,1.18517,0.259918,0.755158,2.90537
40,0.242062,0.267694,1.10589,0.259918,0.510863,1.96548
44,0.169047,0.220872,1.30658,0.39493,0.510863,1.29355
46,0.25488,0.265459,1.04151,0.383386,0.510863,1.3325
48,0.260052,0.262859,1.0108,0.39493,0.510863,1.29355
50,0.247634,0.259995,1.04992,0.383386,0.510863,1.3325
52,0.245264,0.264219,1.07728,0.259918,0.510863,1.96548
55,0.264918,0.265191,1.00103,0.39493,0.510863,1.29355
57,0.214584,0.254972,1.18822,0.39493,0.510863,1.29355
58,0.243134,0.246487,1.01379,0.39493,0.510863,1.29355
62,0.243039,0.260519,1.07192,0.39493,0.510863,1.29355
64,0.235123,0.254607,1.08286,0.39493,0.510863,1.29355
65,0.248541,0.261301,1.05134,0.39493,0.510863,1.29355
67,0.251186,0.263796,1.0502,0.383386,0.510863,1.3325
68,0.252723,0.260966,1.03261,0.383386,0.510863,1.3325
70,0.246169,0.256207,1.04078,0.383386,0.510863,1.3325
73,0.251077,0.253917,1.01131,0.259918,0.510863,1.96548
75,0.259345,0.259757,1.00159,0.39493,0.510863,1.29355
76,0.256381,0.259974,1.01401,0.39493,0.510863,1.29355
