Cluster, Core Distance
0,0.444899,
2,0.417739,
3,0.2764,
5,0.295577,
7,0.301171,
8,0.292533,
10,0.225771,
13,0.284894,
14,0.284066,
17,0.28683,
18,0.286977,
21,0.278407,
23,0.230089,
25,0.270186,
29,0.282986,
30,0.267682,
31,0.257733,
33,0.278579,
35,0.235562,
37,0.278508,
39,0.272735,
41,0.276517,
43,0.271328,
44,0.273245,
47,0.247577,
48,0.260293,
51,0.266449,
53,0.268884,
55,0.246124,
57,0.266998,
59,0.253341,
61,0.260319,
62,0.260722,
65,0.259132,
66,0.225119,
69,0.257495,
70,0.254434,
72,0.249712,
77,0.251405,
79,0.2334,
80,0.246156,
83,0.250559,
87,0.251229,
90,0.241866,
91,0.248364,
93,0.237446,
95,0.242019,
97,0.243102,
99,0.245873,
100,0.243907,
105,0.141875,
107,0.234517,
109,0.2448,
111,0.237814,
113,0.226989,
115,0.241994,
116,0.236582,
119,0.238469,
120,0.237877,
123,0.237423,
125,0.22874,
127,0.187169,
128,0.226953,
131,0.23777,
132,0.228851,
133,0.238172,
135,0.230786,
137,0.226619,
139,0.236249,
141,0.234525,
145,0.232268,
146,0.230355,
148,0.232086,
151,0.228189,
153,0.222091,
154,0.231988,
162,0.223105,
164,0.23019,
166,0.226681,
168,0.226537,
171,0.228664,
172,0.214128,
177,0.222758,
178,0.226666,
181,0.224018,
187,0.224099,
189,0.223516,
190,0.222854,
198,0.218599,
202,0.219526,
203,0.219569,
204,0.194112,
205,0.197264,
206,0.2181,
210,0.207038,
212,0.21477,
213,0.218628,
216,0.215695,
221,0.214097,
222,0.214944,
223,0.216341,
224,0.21431,
226,0.213889,
227,0.180596,
230,0.211856,
234,0.211699,
236,0.212547,
237,0.193487,
246,0.20454,
247,0.200368,
251,0.203432,
252,0.205929,
253,0.20101,
256,0.201011,
257,0.197953,
258,0.203239,
259,0.205999,
262,0.201961,
263,0.200536,
265,0.20185,
266,0.20001,
267,0.200813,
270,0.192604,
271,0.197599,
