Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.291081,0.789603,2.71265,0.0223599,1.38505,61.9436,,,Column 1,,,Column 1
2,0.143907,0.369189,2.56548,0.0581396,1.24124,21.3492,,Mean,27.85283,,Mean,21.034676
5,0.256828,0.331812,1.29196,0.115415,0.481956,4.17585,,Standard Error,11.1166060441755,,Standard Error,10.7534905477489
7,0.257418,0.317662,1.23403,0.0581396,0.827967,14.241,,Mode,61.9436,,Mode,#VALUE!
8,0.154293,0.317373,2.05695,0.0223599,1.38505,61.9436,,Median,17.7951,,Median,14.241
9,0.275742,0.311322,1.12903,0.115415,0.399766,3.46373,,First Quartile ,6.6921375,,First Quartile ,4.17585
,,,,,,,,Third Quartile,51.795,,Third Quartile,21.3492
,,,,,,,,Variance,741.4735796484,,Variance,578.18779480263
,,,,,,,,Standard Deviation,27.2300124797695,,Standard Deviation,24.0455358601681
,,,,,,,,Kurtosis,-1.91396845836293,,Kurtosis,3.13878540887259
,,,,,,,,Skewness,0.723041901216365,,Skewness,1.73623941697097
,,,,,,,,Range,58.47987,,Range,58.47987
,,,,,,,,Minimum,3.46373,,Minimum,3.46373
,,,,,,,,Maximum,61.9436,,Maximum,61.9436
,,,,,,,,Sum,167.11698,,Sum,105.17338
,,,,,,,,Count,6,,Count,5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.83168333333333,,Mean,1.65549
,,,,,,,,Standard Error,0.289108824789405,,Standard Error,0.280730712231491
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.674455,,Median,1.29196
,,,,,,,,First Quartile ,1.2485125,,First Quartile ,1.23403
,,,,,,,,Third Quartile,2.4383475,,Third Quartile,2.05695
,,,,,,,,Variance,0.501503475426667,,Variance,0.39404866395
,,,,,,,,Standard Deviation,0.708169100869748,,Standard Deviation,0.627732955921545
,,,,,,,,Kurtosis,-2.48971296723479,,Kurtosis,-1.25766288069169
,,,,,,,,Skewness,0.314789013577201,,Skewness,0.925500676431352
,,,,,,,,Range,1.58362,,Range,1.43645
,,,,,,,,Minimum,1.12903,,Minimum,1.12903
,,,,,,,,Maximum,2.71265,,Maximum,2.56548
,,,,,,,,Sum,10.9901,,Sum,8.27745
,,,,,,,,Count,6,,Count,5
