Cluster, Core Distance
0,0.586704,
2,0.380273,
3,0.364409,
7,0.425437,
9,0.349816,
11,0.338208,
15,0.36215,
17,0.399844,
22,0.497233,
23,0.49362,
26,0.428863,
27,0.394725,
28,0.37099,
29,0.483426,
31,0.402089,
32,0.420961,
33,0.373194,
36,0.378117,
38,0.403806,
41,0.41794,
43,0.405293,
48,0.385655,
50,0.371606,
53,0.457481,
54,0.391537,
55,0.380396,
56,0.409579,
58,0.392131,
63,0.413958,
64,0.367994,
65,0.397639,
66,0.367825,
67,0.44544,
70,0.470874,
75,0.491195,
76,0.425177,
78,0.450102,
79,0.445847,
80,0.349444,
81,0.420262,
82,0.359165,
84,0.325978,
85,0.529764,
