Cluster, Core Distance
0,0.583293,
2,0.378186,
3,0.36167,
9,0.407668,
11,0.377869,
12,0.354387,
13,0.471974,
14,0.361689,
17,0.403795,
19,0.454475,
28,0.45525,
29,0.416438,
30,0.457207,
31,0.413132,
35,0.490423,
36,0.462703,
37,0.334483,
42,0.377473,
44,0.441422,
46,0.437053,
47,0.431444,
49,0.415064,
50,0.417796,
51,0.437774,
54,0.456371,
59,0.38994,
60,0.461198,
63,0.359482,
64,0.343877,
65,0.442935,
66,0.424182,
67,0.39984,
70,0.382139,
73,0.375321,
74,0.363553,
76,0.352586,
77,0.490806,
78,0.468307,
79,0.369318,
80,0.380551,
81,0.384199,
