Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.314471,0.784281,2.49397,0.0349035,1.33865,38.3529
2,0.368218,0.388051,1.05386,0.186372,0.431869,2.31724
4,0.240409,0.353615,1.47089,0.186372,0.573382,3.07654
7,0.295105,0.352318,1.19388,0.186372,0.506832,2.71946
8,0.150203,0.360034,2.39698,0.186372,0.506832,2.71946
10,0.316322,0.352144,1.11325,0.186372,0.431869,2.31724
13,0.338532,0.363053,1.07243,0.186372,0.431869,2.31724
15,0.298145,0.347731,1.16632,0.186372,1.14072,6.12064
18,0.281183,0.345471,1.22863,0.186372,0.431869,2.31724
20,0.295362,0.333021,1.1275,0.186372,0.431869,2.31724
22,0.156071,0.339828,2.17739,0.186372,1.15601,6.20272
25,0.310102,0.347913,1.12193,0.186372,0.573382,3.07654
28,0.200474,0.328171,1.63697,0.186372,1.15601,6.20272
30,0.279663,0.337275,1.206,0.186372,1.14072,6.12064
32,0.220216,0.320303,1.4545,0.186372,0.431869,2.31724
35,0.262459,0.275459,1.04953,0.186372,0.431869,2.31724
37,0.316433,0.342523,1.08245,0.186372,0.573382,3.07654
38,0.304957,0.326971,1.07219,0.186372,0.431869,2.31724
42,0.300206,0.338852,1.12873,0.186372,0.506832,2.71946
43,0.295943,0.315377,1.06567,0.186372,0.506832,2.71946
47,0.259837,0.338367,1.30223,0.186372,1.15601,6.20272
49,0.325771,0.339512,1.04218,0.186372,0.506832,2.71946
51,0.280367,0.333764,1.19046,0.186372,1.15601,6.20272
52,0.300349,0.338983,1.12863,0.186372,0.506832,2.71946
53,0.307024,0.327855,1.06785,0.186372,0.431869,2.31724
54,0.309311,0.326656,1.05607,0.186372,0.431869,2.31724
55,0.245376,0.335721,1.36819,0.186372,1.15601,6.20272
56,0.304251,0.327863,1.07761,0.186372,0.431869,2.31724
57,0.302858,0.333017,1.09958,0.186372,0.506832,2.71946
58,0.288907,0.3329,1.15227,0.186372,1.15601,6.20272
61,0.257221,0.322663,1.25442,0.186372,0.506832,2.71946
62,0.289082,0.291425,1.0081,0.186372,0.431869,2.31724
63,0.306021,0.320973,1.04886,0.186372,0.506832,2.71946
