Cluster, Core Distance
0,0.540953,
2,0.361672,
3,0.33411,
5,0.300829,
8,0.393639,
11,0.409126,
13,0.352464,
14,0.351232,
17,0.379716,
19,0.387136,
21,0.437128,
25,0.340962,
28,0.402091,
29,0.387487,
31,0.346962,
33,0.363846,
34,0.327223,
36,0.371644,
37,0.407699,
39,0.389875,
45,0.368169,
47,0.442551,
49,0.340759,
50,0.325846,
51,0.378971,
53,0.324059,
54,0.34494,
56,0.362242,
59,0.426827,
60,0.354081,
62,0.310741,
63,0.464887,
64,0.36101,
66,0.335041,
68,0.357872,
72,0.318364,
73,0.333765,
74,0.392687,
75,0.337414,
76,0.356301,
77,0.350567,
