Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.376334,0.857949,2.27976,0.0106622,1.3075,122.63
3,0.386982,0.470375,1.21549,0.333531,0.633968,1.90078
5,0.27763,0.437418,1.57554,0.2266,1.14906,5.07086
7,0.388989,0.391024,1.00523,0.333531,0.633968,1.90078
9,0.4035,0.40603,1.00627,0.333531,0.633968,1.90078
10,0.290422,0.418393,1.44064,0.333531,1.14906,3.44513
12,0.243195,0.402064,1.65326,0.319834,1.14906,3.59267
14,0.333531,0.376787,1.12969,0.333531,1.14906,3.44513
16,0.389615,0.418153,1.07325,0.333531,0.633968,1.90078
18,0.365516,0.428393,1.17202,0.333531,1.14906,3.44513
20,0.320122,0.38362,1.19835,0.333531,0.633968,1.90078
22,0.361186,0.419284,1.16085,0.319834,1.14906,3.59267
24,0.362179,0.406427,1.12217,0.2266,1.14906,5.07086
26,0.220942,0.34247,1.55005,0.333531,1.03427,3.10098
28,0.24979,0.378766,1.51633,0.333531,1.03427,3.10098
29,0.346941,0.375895,1.08346,0.333531,0.633968,1.90078
