Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.170065,0.460853,2.70986,0.03143,1.3642,43.4043
2,0.278407,0.336217,1.20765,0.129859,0.414545,3.19226
4,0.289172,0.309689,1.07095,0.129859,0.414545,3.19226
6,0.305892,0.320893,1.04904,0.129859,0.414545,3.19226
8,0.263295,0.306238,1.1631,0.129859,0.679815,5.23501
10,0.176282,0.180596,1.02447,0.129859,0.414545,3.19226
12,0.225,0.298112,1.32495,0.129859,0.414545,3.19226
14,0.235993,0.298482,1.26479,0.129859,0.918004,7.06922
17,0.24902,0.289158,1.16119,0.129859,0.70693,5.44381
19,0.171892,0.225771,1.31345,0.129859,0.679815,5.23501
20,0.27161,0.283169,1.04256,0.129859,0.414545,3.19226
24,0.257245,0.286301,1.11295,0.129859,0.679815,5.23501
27,0.219,0.276633,1.26316,0.129859,0.70693,5.44381
29,0.191459,0.264916,1.38367,0.129859,0.918004,7.06922
31,0.243851,0.282649,1.1591,0.129859,0.918004,7.06922
33,0.247891,0.253685,1.02338,0.129859,0.414545,3.19226
37,0.249486,0.272796,1.09343,0.129859,0.918004,7.06922
39,0.245282,0.275434,1.12293,0.129859,0.70693,5.44381
40,0.185566,0.279235,1.50477,0.129859,0.990586,7.62815
41,0.269994,0.278314,1.03081,0.129859,0.414545,3.19226
43,0.243335,0.256733,1.05506,0.129859,0.414545,3.19226
45,0.270023,0.279129,1.03372,0.129859,0.679815,5.23501
47,0.254257,0.278508,1.09538,0.129859,0.414545,3.19226
48,0.230484,0.276186,1.19829,0.129859,0.414545,3.19226
51,0.271735,0.272735,1.00368,0.129859,0.414545,3.19226
53,0.260831,0.273876,1.05001,0.129859,0.70693,5.44381
55,0.190857,0.26951,1.41211,0.129859,0.918004,7.06922
56,0.260772,0.271363,1.04061,0.129859,0.679815,5.23501
58,0.209166,0.262113,1.25313,0.129859,0.918004,7.06922
59,0.133498,0.260167,1.94885,0.129859,0.990586,7.62815
60,0.254392,0.268388,1.05502,0.129859,0.679815,5.23501
65,0.185691,0.253341,1.36432,0.129859,0.679815,5.23501
66,0.236211,0.260319,1.10206,0.129859,0.990586,7.62815
68,0.252866,0.260722,1.03107,0.129859,0.414545,3.19226
73,0.129125,0.257904,1.99731,0.129859,1.00707,7.75509
74,0.158579,0.25724,1.62216,0.129859,0.918004,7.06922
78,0.201224,0.23908,1.18813,0.129859,0.70693,5.44381
79,0.226871,0.251642,1.10918,0.129859,0.918004,7.06922
80,0.242127,0.250488,1.03453,0.129859,0.414545,3.19226
81,0.198101,0.244154,1.23248,0.129859,0.923283,7.10987
83,0.215546,0.251229,1.16555,0.129859,0.679815,5.23501
86,0.230821,0.241866,1.04785,0.129859,0.70693,5.44381
87,0.166249,0.248364,1.49392,0.129859,1.00707,7.75509
88,0.201379,0.246051,1.22183,0.129859,0.70693,5.44381
91,0.213764,0.243102,1.13725,0.129859,0.679815,5.23501
95,0.0944305,0.141875,1.50242,0.129859,0.414545,3.19226
96,0.199032,0.243582,1.22384,0.129859,0.70693,5.44381
97,0.216506,0.246215,1.13722,0.129859,0.923283,7.10987
99,0.198364,0.234517,1.18226,0.129859,0.70693,5.44381
101,0.183002,0.2448,1.33769,0.129859,0.990586,7.62815
102,0.22908,0.237877,1.0384,0.129859,0.414545,3.19226
105,0.185889,0.187169,1.00688,0.129859,0.414545,3.19226
107,0.232353,0.23777,1.02331,0.129859,0.414545,3.19226
108,0.221785,0.228851,1.03186,0.129859,0.414545,3.19226
109,0.162559,0.238172,1.46514,0.129859,1.06015,8.16384
111,0.164046,0.234525,1.42963,0.129859,0.923283,7.10987
113,0.226598,0.232268,1.02502,0.129859,0.414545,3.19226
115,0.197594,0.228189,1.15484,0.129859,0.918004,7.06922
117,0.145458,0.230089,1.58182,0.129859,0.990586,7.62815
119,0.212518,0.222091,1.04505,0.129859,0.414545,3.19226
121,0.224276,0.225019,1.00331,0.129859,0.414545,3.19226
122,0.220126,0.22632,1.02814,0.129859,0.679815,5.23501
125,0.212205,0.228664,1.07756,0.129859,0.70693,5.44381
127,0.212678,0.214128,1.00682,0.129859,0.414545,3.19226
128,0.165039,0.222758,1.34973,0.129859,0.990586,7.62815
130,0.211418,0.226666,1.07212,0.129859,0.918004,7.06922
133,0.21536,0.224099,1.04058,0.129859,0.679815,5.23501
138,0.204177,0.21819,1.06863,0.129859,0.70693,5.44381
142,0.176498,0.220155,1.24735,0.129859,0.70693,5.44381
144,0.173611,0.189771,1.09308,0.129859,0.70693,5.44381
147,0.193512,0.21477,1.10985,0.129859,0.679815,5.23501
151,0.164839,0.216319,1.3123,0.129859,1.0566,8.13647
152,0.205519,0.215695,1.04951,0.129859,0.70693,5.44381
154,0.193636,0.214097,1.10567,0.129859,0.70693,5.44381
157,0.208114,0.216646,1.041,0.129859,0.414545,3.19226
158,0.171571,0.214944,1.2528,0.129859,0.990586,7.62815
159,0.189535,0.216341,1.14143,0.129859,0.918004,7.06922
160,0.160634,0.212547,1.32317,0.129859,1.00707,7.75509
161,0.169986,0.193487,1.13825,0.129859,0.70693,5.44381
164,0.180328,0.210661,1.16821,0.129859,0.70693,5.44381
165,0.190564,0.210373,1.10395,0.129859,0.918004,7.06922
172,0.110304,0.205999,1.86755,0.129859,1.00707,7.75509
173,0.176152,0.203239,1.15377,0.129859,0.414545,3.19226
176,0.18498,0.20185,1.0912,0.129859,0.414545,3.19226
178,0.170625,0.20001,1.17222,0.129859,0.923283,7.10987
179,0.15124,0.200813,1.32777,0.129859,1.00707,7.75509
181,0.166754,0.190048,1.13969,0.129859,0.679815,5.23501
183,0.188414,0.194142,1.0304,0.129859,0.414545,3.19226
186,0.156947,0.197135,1.25606,0.129859,0.70693,5.44381
187,0.125303,0.186659,1.48966,0.129859,1.0566,8.13647
188,0.172139,0.196665,1.14248,0.129859,0.70693,5.44381
189,0.100442,0.198281,1.97409,0.0463776,1.13433,24.4586
192,0.129266,0.186449,1.44236,0.129859,0.923283,7.10987
193,0.158122,0.191171,1.20901,0.129859,0.70693,5.44381
