Cluster, Core Distance
0,0.549742,
2,0.343118,
3,0.343306,
5,0.430434,
6,0.356297,
9,0.452058,
10,0.312302,
13,0.356778,
16,0.336695,
18,0.403089,
21,0.388472,
22,0.369276,
24,0.313354,
27,0.340496,
28,0.349411,
31,0.400155,
33,0.326456,
35,0.372503,
37,0.297756,
39,0.368479,
41,0.354694,
44,0.390709,
46,0.409453,
48,0.365917,
49,0.366818,
50,0.483924,
54,0.418619,
56,0.450836,
59,0.36087,
60,0.331271,
61,0.434569,
64,0.473294,
66,0.394677,
67,0.39927,
70,0.393327,
72,0.39553,
74,0.38961,
75,0.376017,
76,0.382372,
77,0.344073,
