Cluster, Core Distance
0,0.42658,
2,0.32871,
4,0.257936,
5,0.262977,
7,0.347603,
8,0.331295,
11,0.312155,
12,0.263983,
14,0.340155,
17,0.297235,
19,0.298677,
23,0.365488,
25,0.353971,
26,0.299911,
29,0.289862,
30,0.353366,
33,0.348785,
34,0.362969,
37,0.376112,
38,0.177198,
39,0.288087,
42,0.312613,
44,0.284812,
48,0.327952,
49,0.410075,
54,0.337442,
55,0.282695,
57,0.297029,
60,0.314373,
62,0.318194,
63,0.352831,
64,0.326303,
69,0.291584,
70,0.342615,
73,0.285975,
75,0.328993,
76,0.275507,
80,0.353402,
81,0.274213,
82,0.273948,
83,0.328324,
