Cluster, Core Distance
0,0.525016,
2,0.321865,
3,0.32126,
5,0.32041,
6,0.43763,
8,0.341054,
12,0.337989,
13,0.289667,
14,0.36935,
18,0.439381,
19,0.409773,
21,0.357854,
23,0.364966,
24,0.367852,
28,0.448037,
30,0.40536,
31,0.410475,
35,0.352073,
36,0.33252,
43,0.337108,
44,0.28321,
47,0.35975,
48,0.416978,
49,0.456113,
55,0.35427,
56,0.369586,
57,0.341588,
59,0.340203,
60,0.316868,
62,0.36871,
66,0.384163,
68,0.451797,
69,0.403546,
70,0.370538,
71,0.363072,
75,0.334703,
77,0.345013,
78,0.399217,
79,0.316647,
80,0.37322,
81,0.423518,
