Cluster, Core Distance
0,0.586068,
3,0.505943,
4,0.492814,
7,0.425327,
8,0.503304,
10,0.478862,
13,0.445077,
15,0.452547,
17,0.521522,
19,0.414095,
24,0.463242,
25,0.500504,
27,0.41775,
30,0.4218,
31,0.447938,
33,0.539135,
35,0.418017,
36,0.403899,
39,0.375339,
40,0.414718,
42,0.40059,
43,0.452437,
44,0.376819,
46,0.380466,
49,0.406171,
50,0.385036,
55,0.325974,
57,0.336485,
59,0.390387,
60,0.383413,
62,0.362373,
65,0.397506,
67,0.357809,
69,0.346806,
72,0.351872,
76,0.342348,
78,0.357538,
80,0.413678,
81,0.384344,
83,0.356131,
84,0.329501,
93,0.325496,
94,0.331737,
96,0.341705,
100,0.35256,
103,0.327845,
106,0.31758,
108,0.349853,
111,0.311562,
113,0.316209,
114,0.329864,
116,0.32474,
117,0.310846,
118,0.32266,
119,0.308126,
