Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.214095,0.606771,2.83412,0.0644787,1.3338,20.6859
3,0.438287,0.535085,1.22086,0.330984,0.486849,1.47092
4,0.376859,0.421515,1.11849,0.330984,0.602179,1.81936
6,0.367025,0.388739,1.05916,0.330984,0.486849,1.47092
9,0.318779,0.318973,1.00061,0.330984,0.486849,1.47092
10,0.208281,0.276128,1.32574,0.330984,0.602179,1.81936
13,0.105971,0.306066,2.8882,0.193807,1.14336,5.89946
14,0.330984,0.338594,1.02299,0.330984,0.486849,1.47092
16,0.329279,0.338864,1.02911,0.330984,0.486849,1.47092
18,0.233148,0.31515,1.35172,0.330984,0.968576,2.92636
20,0.24602,0.292141,1.18747,0.330984,0.602179,1.81936
22,0.145307,0.222961,1.53441,0.193807,0.977399,5.04315
25,0.135806,0.202106,1.4882,0.330984,0.968576,2.92636
27,0.190386,0.214224,1.12521,0.330984,0.602179,1.81936
29,0.179238,0.207176,1.15587,0.330984,0.602179,1.81936
30,0.120459,0.195697,1.6246,0.193807,0.977399,5.04315
31,0.117488,0.181644,1.54607,0.330984,0.602179,1.81936
