Cluster, Core Distance
0,0.552897,
2,0.350095,
3,0.351169,
5,0.396227,
6,0.380937,
8,0.372565,
10,0.481459,
14,0.433575,
18,0.405176,
21,0.409622,
23,0.426945,
27,0.435525,
29,0.396614,
30,0.400203,
32,0.37638,
33,0.468213,
34,0.375682,
36,0.370234,
37,0.387505,
38,0.478571,
40,0.394784,
42,0.395668,
44,0.380546,
47,0.364388,
49,0.423072,
50,0.333652,
51,0.368942,
53,0.428599,
54,0.453074,
57,0.40025,
58,0.376905,
60,0.394861,
64,0.362203,
65,0.391292,
67,0.410947,
70,0.476648,
74,0.381576,
75,0.492205,
76,0.458936,
77,0.375187,
78,0.372528,
79,0.407993,
