Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.20495,0.611892,2.98557,0.0146719,1.40535,95.7857,,,Column 1,,,Column 1
3,0.353859,0.372771,1.05345,0.0980363,1.22934,12.5397,,Mean,18.0271666666667,,Mean,13.4531352941176
4,0.270471,0.362566,1.3405,0.0947828,1.24454,13.1305,,Standard Error,4.57911996115988,,Standard Error,0.228907621834464
10,0.300992,0.357957,1.18925,0.086024,1.24454,14.4674,,Mode,12.5397,,Mode,12.5397
13,0.339128,0.36338,1.07151,0.0980363,1.22934,12.5397,,Median,13.1305,,Median,13.1305
14,0.286939,0.362657,1.26388,0.086024,1.24454,14.4674,,First Quartile ,12.5397,,First Quartile ,12.5397
15,0.295882,0.362131,1.2239,0.0947828,1.24454,13.1305,,Third Quartile,14.4674,,Third Quartile,14.4674
17,0.33028,0.359846,1.08952,0.0980363,1.22934,12.5397,,Variance,377.430113136471,,Variance,0.890777888676471
19,0.329109,0.354656,1.07762,0.0947828,1.24454,13.1305,,Standard Deviation,19.427560658417,,Standard Deviation,0.943810303332439
20,0.319274,0.342939,1.07412,0.0980363,1.22934,12.5397,,Kurtosis,17.9050864046166,,Kurtosis,-1.46560900171115
22,0.220613,0.342258,1.55139,0.0947828,1.24454,13.1305,,Skewness,4.22680538943104,,Skewness,0.542069255131593
25,0.326802,0.340023,1.04045,0.0980363,1.22934,12.5397,,Range,83.246,,Range,2.4318
26,0.245851,0.324232,1.31881,0.086024,1.24454,14.4674,,Minimum,12.5397,,Minimum,12.5397
27,0.0306458,0.276897,9.03539,0.086024,1.24454,14.4674,,Maximum,95.7857,,Maximum,14.9715
30,0.267994,0.320406,1.19557,0.0980363,1.22934,12.5397,,Sum,324.489,,Sum,228.7033
31,0.165866,0.319672,1.92729,0.086024,1.28791,14.9715,,Count,18,,Count,17
34,0.0548582,0.187919,3.42554,0.086024,1.28791,14.9715,,,,,,
35,0.127589,0.192186,1.50629,0.0947828,1.24454,13.1305,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.90944722222222,,Mean,1.84614588235294
,,,,,,,,Standard Error,0.447820802166239,,Standard Error,0.470216399784731
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.24389,,Median,1.2239
,,,,,,,,First Quartile ,1.080595,,First Quartile ,1.07762
,,,,,,,,Third Quartile,1.540115,,Third Quartile,1.50629
,,,,,,,,Variance,3.60978247535065,,Variance,3.75875886465073
,,,,,,,,Standard Deviation,1.89994275580888,,Standard Deviation,1.93875188321011
,,,,,,,,Kurtosis,13.044402981872,,Kurtosis,13.6220404427127
,,,,,,,,Skewness,3.48490779190633,,Skewness,3.60953157574406
,,,,,,,,Range,7.99494,,Range,7.99494
,,,,,,,,Minimum,1.04045,,Minimum,1.04045
,,,,,,,,Maximum,9.03539,,Maximum,9.03539
,,,,,,,,Sum,34.37005,,Sum,31.38448
,,,,,,,,Count,18,,Count,17
