Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.299264,0.815972,2.7266,0.0349035,1.3405,38.406,,,Column 1,,,Column 1
3,0.253344,0.327836,1.29403,0.119822,0.557684,4.65428,,Mean,22.7785125,,Mean,17.56935
4,0.23766,0.325375,1.36908,0.119822,1.15601,9.64777,,Standard Error,9.07992719060692,,Standard Error,10.5175761309645
5,0.18625,0.32783,1.76016,0.0349035,1.3405,38.406,,Mode,38.406,,Mode,#VALUE!
,,,,,,,,Median,24.026885,,Median,9.64777
,,,,,,,,First Quartile ,8.3993975,,First Quartile ,7.151025
,,,,,,,,Third Quartile,38.406,,Third Quartile,24.026885
,,,,,,,,Variance,329.780311146892,,Variance,331.8582230119
,,,,,,,,Standard Deviation,18.1598543812138,,Standard Deviation,18.2169762313041
,,,,,,,,Kurtosis,-5.62551928087628,,Kurtosis,#NUM!
,,,,,,,,Skewness,-0.06506694914497,,Skewness,1.58679240258701
,,,,,,,,Range,33.75172,,Range,33.75172
,,,,,,,,Minimum,4.65428,,Minimum,4.65428
,,,,,,,,Maximum,38.406,,Maximum,38.406
,,,,,,,,Sum,91.11405,,Sum,52.70805
,,,,,,,,Count,4,,Count,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.7874675,,Mean,1.47442333333333
,,,,,,,,Standard Error,0.329297765286855,,Standard Error,0.144501681228205
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.56462,,Median,1.36908
,,,,,,,,First Quartile ,1.3503175,,First Quartile ,1.331555
,,,,,,,,Third Quartile,2.00177,,Third Quartile,1.56462
,,,,,,,,Variance,0.433748072891667,,Variance,0.062642207633333
,,,,,,,,Standard Deviation,0.65859553057371,,Standard Deviation,0.250284253666373
,,,,,,,,Kurtosis,1.87521767241836,,Kurtosis,#NUM!
,,,,,,,,Skewness,1.48165818429858,,Skewness,1.55849511661463
,,,,,,,,Range,1.43257,,Range,0.46613
,,,,,,,,Minimum,1.29403,,Minimum,1.29403
,,,,,,,,Maximum,2.7266,,Maximum,1.76016
,,,,,,,,Sum,7.14987,,Sum,4.42327
,,,,,,,,Count,4,,Count,3
