Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.294858,0.596539,2.02314,0.0318451,1.3737,43.1369,,,Column 1,,,Column 1
4,0.260903,0.325258,1.24666,0.214243,0.723302,3.37608,,Mean,13.6048342857143,,Mean,8.68282333333333
6,0.172295,0.312192,1.81197,0.0925345,1.27686,13.7988,,Standard Error,5.29186832622192,,Standard Error,2.29972824337959
7,0.238694,0.312964,1.31115,0.0925345,1.27686,13.7988,,Mode,3.37608,,Mode,3.37608
9,0.270415,0.297813,1.10132,0.186535,0.723302,3.87758,,Median,13.7988,,Median,8.83819
10,0.170946,0.29594,1.73119,0.0925345,1.28342,13.8696,,First Quartile ,3.62683,,First Quartile ,3.501455
11,0.237707,0.295885,1.24475,0.214243,0.723302,3.37608,,Third Quartile,13.8342,,Third Quartile,13.7988
,,,,,,,,Variance,196.027092674495,,Variance,31.7324999603867
,,,,,,,,Standard Deviation,14.0009675620828,,Standard Deviation,5.63316074334708
,,,,,,,,Kurtosis,4.21201564690833,,Kurtosis,-3.3211653515601
,,,,,,,,Skewness,1.92948179638411,,Skewness,-0.004205097409818
,,,,,,,,Range,39.76082,,Range,10.49352
,,,,,,,,Minimum,3.37608,,Minimum,3.37608
,,,,,,,,Maximum,43.1369,,Maximum,13.8696
,,,,,,,,Sum,95.23384,,Sum,52.09694
,,,,,,,,Count,7,,Count,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.49574,,Mean,1.40784
,,,,,,,,Standard Error,0.133476081895204,,Standard Error,0.118849636992855
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.31115,,Median,1.278905
,,,,,,,,First Quartile ,1.245705,,First Quartile ,1.2452275
,,,,,,,,Third Quartile,1.77158,,Third Quartile,1.62618
,,,,,,,,Variance,0.124711051066667,,Variance,0.08475141728
,,,,,,,,Standard Deviation,0.353144518670001,,Standard Deviation,0.291120966747502
,,,,,,,,Kurtosis,-1.69072242414861,,Kurtosis,-1.58163334677157
,,,,,,,,Skewness,0.489860512577876,,Skewness,0.748789902724532
,,,,,,,,Range,0.92182,,Range,0.71065
,,,,,,,,Minimum,1.10132,,Minimum,1.10132
,,,,,,,,Maximum,2.02314,,Maximum,1.81197
,,,,,,,,Sum,10.47018,,Sum,8.44704
,,,,,,,,Count,7,,Count,6
