Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.189161,0.457453,2.41833,0.0451351,1.39386,30.882
2,0.211629,0.28515,1.3474,0.383386,0.510863,1.3325
5,0.170323,0.271647,1.59489,0.259918,0.755158,2.90537
7,0.18641,0.27147,1.45631,0.259918,0.755158,2.90537
8,0.189381,0.250425,1.32234,0.259918,0.510863,1.96548
10,0.169047,0.220872,1.30658,0.39493,0.510863,1.29355
13,0.249962,0.261145,1.04474,0.383386,0.510863,1.3325
14,0.230485,0.248111,1.07647,0.39493,0.510863,1.29355
16,0.251203,0.252346,1.00455,0.39493,0.510863,1.29355
18,0.226557,0.249969,1.10334,0.383386,0.510863,1.3325
21,0.22228,0.248848,1.11952,0.259918,0.510863,1.96548
22,0.244593,0.250815,1.02544,0.39493,0.510863,1.29355
24,0.212278,0.247546,1.16614,0.383386,0.510863,1.3325
27,0.233587,0.249812,1.06946,0.383386,0.510863,1.3325
28,0.225531,0.24883,1.10331,0.39493,0.510863,1.29355
31,0.188997,0.238573,1.26231,0.39493,0.510863,1.29355
34,0.167759,0.212073,1.26415,0.39493,0.510863,1.29355
36,0.229089,0.248388,1.08424,0.39493,0.510863,1.29355
37,0.243559,0.245849,1.0094,0.383386,0.510863,1.3325
39,0.234398,0.246395,1.05118,0.259918,0.510863,1.96548
41,0.236671,0.246376,1.04101,0.39493,0.510863,1.29355
42,0.209567,0.246767,1.17751,0.383386,0.510863,1.3325
44,0.236934,0.238762,1.00772,0.39493,0.510863,1.29355
47,0.217997,0.237104,1.08765,0.39493,0.510863,1.29355
48,0.234825,0.245281,1.04453,0.259918,0.510863,1.96548
51,0.215166,0.247934,1.15229,0.194223,0.904993,4.65956
53,0.234835,0.244214,1.03994,0.259918,0.510863,1.96548
54,0.223696,0.237733,1.06275,0.383386,0.510863,1.3325
57,0.243134,0.244503,1.00563,0.39493,0.510863,1.29355
61,0.219625,0.237472,1.08126,0.383386,0.510863,1.3325
63,0.206633,0.23839,1.15369,0.39493,0.510863,1.29355
67,0.22275,0.241661,1.0849,0.383386,0.510863,1.3325
68,0.20577,0.209871,1.01993,0.39493,0.510863,1.29355
70,0.200627,0.240718,1.19983,0.383386,0.510863,1.3325
73,0.216275,0.226033,1.04512,0.39493,0.510863,1.29355
76,0.211844,0.241295,1.13902,0.194223,0.870819,4.48361
78,0.216638,0.233599,1.07829,0.39493,0.510863,1.29355
80,0.212314,0.240439,1.13247,0.259918,0.510863,1.96548
81,0.204019,0.229468,1.12473,0.39493,0.510863,1.29355
83,0.231476,0.240121,1.03735,0.259918,0.510863,1.96548
87,0.237611,0.237664,1.00022,0.39493,0.510863,1.29355
88,0.224605,0.243119,1.08243,0.194223,0.904993,4.65956
89,0.210854,0.236419,1.12124,0.39493,0.510863,1.29355
92,0.2199,0.238841,1.08614,0.259918,0.510863,1.96548
94,0.232716,0.236643,1.01687,0.259918,0.510863,1.96548
96,0.22147,0.24046,1.08575,0.259918,0.510863,1.96548
99,0.192202,0.20739,1.07902,0.383386,0.510863,1.3325
101,0.207326,0.239695,1.15613,0.194223,0.870819,4.48361
102,0.201974,0.240461,1.19056,0.259918,0.510863,1.96548
106,0.236112,0.236797,1.0029,0.39493,0.510863,1.29355
109,0.230203,0.240471,1.04461,0.259918,0.510863,1.96548
110,0.184733,0.227325,1.23056,0.259918,0.510863,1.96548
115,0.234854,0.237836,1.0127,0.259918,0.755158,2.90537
119,0.211582,0.235733,1.11415,0.383386,0.510863,1.3325
120,0.217226,0.223124,1.02715,0.39493,0.510863,1.29355
122,0.206046,0.237789,1.15406,0.259918,0.755158,2.90537
124,0.235435,0.238078,1.01122,0.39493,0.510863,1.29355
126,0.219096,0.234878,1.07203,0.259918,0.755158,2.90537
128,0.194179,0.239235,1.23203,0.259918,0.510863,1.96548
130,0.223152,0.237379,1.06375,0.259918,0.510863,1.96548
131,0.220668,0.239696,1.08623,0.194223,0.870819,4.48361
133,0.213701,0.234561,1.09761,0.383386,0.510863,1.3325
134,0.205177,0.212896,1.03762,0.39493,0.510863,1.29355
137,0.219824,0.2371,1.07859,0.383386,0.510863,1.3325
139,0.22965,0.238088,1.03675,0.39493,0.510863,1.29355
140,0.142499,0.234925,1.64861,0.259918,0.510863,1.96548
144,0.165736,0.173396,1.04622,0.39493,0.510863,1.29355
145,0.0886598,0.194617,2.1951,0.259918,0.510863,1.96548
146,0.189907,0.234571,1.23519,0.259918,0.755158,2.90537
147,0.208078,0.238668,1.14701,0.259918,0.510863,1.96548
149,0.224096,0.234522,1.04653,0.259918,0.755158,2.90537
151,0.218329,0.232499,1.0649,0.383386,0.510863,1.3325
152,0.212501,0.23745,1.1174,0.259918,0.755158,2.90537
156,0.218067,0.237018,1.08691,0.259918,0.755158,2.90537
160,0.225141,0.235479,1.04592,0.383386,0.510863,1.3325
164,0.234253,0.236474,1.00948,0.39493,0.510863,1.29355
165,0.207025,0.233807,1.12937,0.259918,0.755158,2.90537
166,0.180888,0.212874,1.17683,0.259918,0.755158,2.90537
167,0.187352,0.23608,1.26009,0.259918,0.510863,1.96548
168,0.20371,0.228749,1.12291,0.259918,0.510863,1.96548
169,0.219354,0.2338,1.06586,0.39493,0.510863,1.29355
178,0.1887,0.217895,1.15471,0.259918,0.510863,1.96548
185,0.174246,0.23316,1.33811,0.194223,0.870819,4.48361
189,0.204935,0.229285,1.11882,0.259918,0.510863,1.96548
198,0.109457,0.222877,2.0362,0.259918,0.510863,1.96548
201,0.174506,0.204932,1.17435,0.259918,0.510863,1.96548
202,0.217584,0.232267,1.06748,0.259918,0.814811,3.13488
203,0.172555,0.19891,1.15274,0.39493,0.510863,1.29355
204,0.204682,0.232556,1.13618,0.194223,0.870819,4.48361
205,0.195559,0.219775,1.12383,0.39493,0.510863,1.29355
207,0.205587,0.229165,1.11469,0.194223,0.814811,4.19524
209,0.203098,0.226281,1.11415,0.259918,0.510863,1.96548
