Cluster, Core Distance
0,0.550826,
2,0.346095,
3,0.381536,
4,0.348909,
7,0.361845,
8,0.379544,
10,0.340677,
12,0.404957,
14,0.405086,
18,0.423728,
21,0.384315,
22,0.399434,
25,0.382767,
27,0.37964,
29,0.366127,
31,0.383265,
33,0.391801,
36,0.352943,
38,0.371949,
39,0.461181,
45,0.371271,
46,0.343319,
48,0.391559,
50,0.388443,
52,0.367225,
55,0.362609,
56,0.495024,
57,0.392025,
58,0.385716,
59,0.38723,
61,0.367575,
62,0.404713,
65,0.380606,
66,0.318636,
67,0.383255,
68,0.373453,
70,0.466319,
73,0.395572,
76,0.480272,
80,0.431208,
81,0.457099,
82,0.476226,
83,0.368569,
84,0.418814,
85,0.310679,
