Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.189161,0.457453,2.41833,0.0436099,1.28814,29.5378
2,0.274859,0.297601,1.08274,0.39493,0.510863,1.29355
4,0.280074,0.284532,1.01592,0.39493,0.510863,1.29355
7,0.270023,0.292698,1.08397,0.383386,0.510863,1.3325
8,0.282631,0.288389,1.02037,0.39493,0.510863,1.29355
10,0.211629,0.28515,1.3474,0.383386,0.510863,1.3325
13,0.225179,0.272551,1.21037,0.383386,0.510863,1.3325
14,0.259198,0.285479,1.10139,0.297209,0.870819,2.92998
17,0.235238,0.281924,1.19846,0.297209,0.870819,2.92998
18,0.242594,0.284288,1.17186,0.289203,0.877171,3.03306
21,0.256451,0.279373,1.08938,0.335939,0.510863,1.5207
23,0.265638,0.278516,1.04848,0.383386,0.510863,1.3325
25,0.263896,0.275128,1.04256,0.39493,0.510863,1.29355
26,0.251077,0.280938,1.11893,0.297209,0.870819,2.92998
29,0.264501,0.276018,1.04354,0.39493,0.510863,1.29355
30,0.275948,0.277342,1.00505,0.39493,0.510863,1.29355
33,0.266994,0.272745,1.02154,0.39493,0.510863,1.29355
34,0.265157,0.27781,1.04772,0.383386,0.510863,1.3325
36,0.272935,0.279448,1.02386,0.39493,0.510863,1.29355
39,0.238125,0.27147,1.14003,0.335939,0.510863,1.5207
40,0.25757,0.278226,1.08019,0.39493,0.510863,1.29355
43,0.214584,0.254972,1.18822,0.39493,0.510863,1.29355
45,0.264125,0.277393,1.05023,0.39493,0.510863,1.29355
46,0.189381,0.250425,1.32234,0.335939,0.870819,2.5922
49,0.259639,0.27552,1.06117,0.39493,0.510863,1.29355
50,0.219196,0.26381,1.20353,0.383386,0.510863,1.3325
52,0.249962,0.261145,1.04474,0.383386,0.510863,1.3325
56,0.260971,0.267499,1.02501,0.39493,0.510863,1.29355
57,0.243134,0.266238,1.09503,0.297209,0.870819,2.92998
58,0.204543,0.245687,1.20115,0.383386,0.510863,1.3325
61,0.237784,0.265035,1.1146,0.383386,0.510863,1.3325
62,0.220668,0.25063,1.13578,0.297209,0.870819,2.92998
66,0.20577,0.258291,1.25524,0.383386,0.510863,1.3325
70,0.212278,0.247546,1.16614,0.383386,0.510863,1.3325
71,0.219625,0.256475,1.16779,0.289203,0.870819,3.0111
73,0.230823,0.256958,1.11322,0.297209,0.870819,2.92998
75,0.206633,0.23839,1.15369,0.39493,0.510863,1.29355
77,0.235832,0.250655,1.06285,0.335939,0.870819,2.5922
78,0.167759,0.212073,1.26415,0.39493,0.510863,1.29355
80,0.246142,0.254642,1.03453,0.39493,0.510863,1.29355
82,0.179046,0.24663,1.37747,0.297209,0.870819,2.92998
85,0.112338,0.238243,2.12078,0.289203,0.877171,3.03306
87,0.236416,0.249255,1.0543,0.297209,0.870819,2.92998
89,0.188997,0.238573,1.26231,0.39493,0.510863,1.29355
90,0.170323,0.224735,1.31946,0.335939,0.510863,1.5207
98,0.200627,0.240718,1.19983,0.383386,0.510863,1.3325
100,0.180888,0.244918,1.35398,0.297209,0.870819,2.92998
103,0.155534,0.23739,1.52628,0.383386,0.510863,1.3325
104,0.183257,0.234374,1.27894,0.297209,0.870819,2.92998
105,0.184733,0.241272,1.30605,0.335939,0.870819,2.5922
109,0.221516,0.241676,1.09101,0.297209,0.870819,2.92998
110,0.236275,0.241296,1.02125,0.39493,0.510863,1.29355
112,0.0653473,0.21303,3.25997,0.297209,0.870819,2.92998
114,0.205177,0.212896,1.03762,0.39493,0.510863,1.29355
115,0.167744,0.237344,1.41492,0.335939,0.870819,2.5922
117,0.193423,0.239236,1.23686,0.383386,0.510863,1.3325
118,0.1887,0.217895,1.15471,0.335939,0.510863,1.5207
119,0.215504,0.232505,1.07889,0.335939,0.870819,2.5922
121,0.174246,0.23316,1.33811,0.289203,0.870819,3.0111
122,0.0956606,0.226033,2.36286,0.297209,0.870819,2.92998
123,0.169047,0.220872,1.30658,0.39493,0.510863,1.29355
124,0.109457,0.222877,2.0362,0.335939,0.870819,2.5922
127,0.174506,0.194192,1.11281,0.39493,0.510863,1.29355
129,0.152494,0.210779,1.38221,0.297209,0.870819,2.92998
131,0.218692,0.227728,1.04132,0.39493,0.510863,1.29355
132,0.210958,0.220669,1.04603,0.383386,0.510863,1.3325
134,0.169447,0.209429,1.23595,0.297209,0.870819,2.92998
136,0.148859,0.221251,1.48631,0.289203,0.870819,3.0111
137,0.179888,0.209035,1.16203,0.383386,0.510863,1.3325
139,0.174973,0.187909,1.07393,0.39493,0.510863,1.29355
140,0.172333,0.186484,1.08211,0.297209,0.870819,2.92998
141,0.156299,0.201686,1.29039,0.383386,0.510863,1.3325
