Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.268865,0.661884,2.46177,0.0109981,1.28347,116.699,,,Column 1,,,Column 1
6,0.236427,0.287795,1.21727,0.142243,0.678498,4.77001,,Mean,22.47304,,Mean,6.76871333333333
7,0.28126,0.294969,1.04874,0.142243,0.660901,4.6463,,Standard Error,15.7724960786293,,Standard Error,1.73322217150537
8,0.214734,0.284336,1.32413,0.142243,0.660901,4.6463,,Mode,4.6463,,Mode,4.6463
9,0.248849,0.286513,1.15135,0.142243,0.467746,3.28837,,Median,4.77001,,Median,4.708155
10,0.122574,0.269781,2.20096,0.082048,0.709994,8.6534,,First Quartile ,4.6463,,First Quartile ,4.6463
11,0.198123,0.269949,1.36253,0.082048,1.19855,14.6079,,Third Quartile,11.63065,,Third Quartile,7.6825525
,,,,,,,,Variance,1741.40142785263,,Variance,18.0243545747867
,,,,,,,,Standard Deviation,41.7301021787945,,Standard Deviation,4.24550993106678
,,,,,,,,Kurtosis,6.80409713820746,,Kurtosis,2.3521134014346
,,,,,,,,Skewness,2.59930690626018,,Skewness,1.64332799714923
,,,,,,,,Range,113.41063,,Range,11.31953
,,,,,,,,Minimum,3.28837,,Minimum,3.28837
,,,,,,,,Maximum,116.699,,Maximum,14.6079
,,,,,,,,Sum,157.31128,,Sum,40.61228
,,,,,,,,Count,7,,Count,6
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Column 1,,,Column 1
,,,,,,,,Mean,1.53810714285714,,Mean,1.38416333333333
,,,,,,,,Standard Error,0.210506096221127,,Standard Error,0.169881629606552
,,,,,,,,Mode,#VALUE!,,Mode,#VALUE!
,,,,,,,,Median,1.32413,,Median,1.2707
,,,,,,,,First Quartile ,1.18431,,First Quartile ,1.16783
,,,,,,,,Third Quartile,1.781745,,Third Quartile,1.35293
,,,,,,,,Variance,0.31018971582381,,Variance,0.173158608466667
,,,,,,,,Standard Deviation,0.556946780064136,,Standard Deviation,0.416123309208541
,,,,,,,,Kurtosis,-0.480589551468035,,Kurtosis,4.5237242999466
,,,,,,,,Skewness,1.15611734744204,,Skewness,2.03884718251675
,,,,,,,,Range,1.41303,,Range,1.15222
,,,,,,,,Minimum,1.04874,,Minimum,1.04874
,,,,,,,,Maximum,2.46177,,Maximum,2.20096
,,,,,,,,Sum,10.76675,,Sum,8.30498
,,,,,,,,Count,7,,Count,6
