Cluster, Core Distance
0,0.578671,
2,0.365869,
3,0.518211,
4,0.390021,
6,0.541009,
8,0.413928,
12,0.440156,
15,0.496918,
18,0.39105,
21,0.38458,
22,0.372212,
24,0.355363,
25,0.409759,
26,0.418769,
29,0.441645,
31,0.37575,
34,0.474764,
37,0.378013,
39,0.482991,
41,0.40191,
42,0.515736,
44,0.335982,
46,0.365558,
48,0.391759,
50,0.384687,
51,0.48342,
53,0.443569,
54,0.353745,
56,0.433663,
59,0.45339,
60,0.384496,
61,0.342348,
62,0.510637,
65,0.403959,
66,0.352797,
69,0.38724,
72,0.415289,
78,0.40079,
79,0.387893,
80,0.497767,
82,0.403247,
83,0.412495,
86,0.403475,
87,0.393976,
