Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.33531,0.872269,2.60138,0.0811949,1.32545,16.3243
3,0.386982,0.437073,1.12944,0.333531,0.633968,1.90078
4,0.28026,0.413364,1.47493,0.333531,0.633968,1.90078
6,0.290422,0.418393,1.44064,0.333531,1.03427,3.10098
11,0.333531,0.376787,1.12969,0.333531,1.14906,3.44513
12,0.342253,0.389615,1.13838,0.333531,0.633968,1.90078
14,0.156158,0.389869,2.49663,0.333531,0.633968,1.90078
15,0.372292,0.406674,1.09235,0.333531,1.14906,3.44513
17,0.365516,0.41051,1.1231,0.333531,0.633968,1.90078
18,0.243195,0.421988,1.73518,0.319834,1.22711,3.83671
20,0.333015,0.405476,1.21759,0.319834,1.22711,3.83671
23,0.371424,0.405242,1.09105,0.333531,1.14906,3.44513
25,0.382001,0.385247,1.0085,0.333531,0.633968,1.90078
26,0.24979,0.368506,1.47526,0.319834,1.22711,3.83671
29,0.264522,0.333645,1.26131,0.333531,1.03427,3.10098
30,0.31557,0.328096,1.03969,0.333531,1.14906,3.44513
31,0.220942,0.360552,1.63188,0.333531,1.14906,3.44513
