Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,1.41421,67.2458,47.55,0,364.517,inf
4,9.21954,13.0384,1.41421,0,314.608,inf
8,0,5.74456,inf,0,314.775,inf
9,2.44949,3.4641,1.41421,0,314.608,inf
10,2.82843,4.3589,1.5411,0,314.608,inf
14,2.23607,3.74166,1.67332,0,314.775,inf
16,2.23607,3.60555,1.61245,0,314.608,inf
20,3,3.31662,1.10554,0,314.608,inf
21,1.73205,3.4641,2,0,314.608,inf
23,2.23607,3.31662,1.48324,0,314.608,inf
27,1.73205,3.16228,1.82574,0,314.775,inf
28,2.23607,3.16228,1.41421,0,314.608,inf
29,2.23607,3.16228,1.41421,0,314.608,inf
31,1.73205,3.16228,1.82574,0,314.608,inf
32,2.23607,3.16228,1.41421,0,314.608,inf
34,2.23607,3.16228,1.41421,0,314.608,inf
36,2.23607,3.16228,1.41421,0,314.608,inf
38,1.73205,3.16228,1.82574,0,317.229,inf
40,2.23607,2.82843,1.26491,0,314.608,inf
42,2.23607,3,1.34164,0,314.608,inf
44,1.73205,2.82843,1.63299,0,314.608,inf
45,2,2.44949,1.22474,0,314.775,inf
46,1.73205,2.82843,1.63299,0,314.775,inf
48,1.73205,2.23607,1.29099,0,314.608,inf
49,2,2.44949,1.22474,0,314.608,inf
50,0,2.44949,inf,0,314.608,inf
51,2.23607,2.44949,1.09545,0,314.608,inf
52,1.73205,2.82843,1.63299,0,314.608,inf
53,1.73205,2.44949,1.41421,0,314.608,inf
54,1,2.44949,2.44949,0,363.392,inf
55,2.23607,2.44949,1.09545,0,314.608,inf
56,2.23607,2.44949,1.09545,0,314.608,inf
64,1.41421,2,1.41421,0,314.608,inf
66,0,0,-nan,0,314.608,inf
67,1,1,1,0,314.608,inf
68,0,0,-nan,0,314.608,inf
