Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.287261,0.591012,2.05741,0.0288953,1.33013,46.0327
3,0.363537,0.381628,1.04976,0.585552,1.15683,1.97562
5,0.329515,0.425391,1.29096,0.387304,1.15683,2.98688
6,0.312134,0.406701,1.30297,0.387304,1.15683,2.98688
9,0.234824,0.402089,1.7123,0.387304,1.15683,2.98688
11,0.294277,0.396983,1.34901,0.387304,1.20394,3.10851
13,0.219786,0.380806,1.73262,0.387304,1.15683,2.98688
15,0.336738,0.347985,1.0334,0.585552,1.15683,1.97562
17,0.397774,0.408239,1.02631,0.387304,1.15683,2.98688
19,0.286527,0.291227,1.0164,0.585552,1.15683,1.97562
22,0.348898,0.38321,1.09834,0.387304,1.15683,2.98688
23,0.234406,0.380355,1.62264,0.387304,1.15683,2.98688
25,0.305828,0.370812,1.21248,0.387304,1.15683,2.98688
27,0.221086,0.379435,1.71623,0.103185,1.23997,12.0169
28,0.280429,0.35323,1.2596,0.347124,1.20394,3.46832
31,0.30094,0.353628,1.17508,0.387304,1.15683,2.98688
33,0.259422,0.353376,1.36217,0.347124,1.20394,3.46832
36,0.300639,0.334515,1.11268,0.387304,1.15683,2.98688
37,0.288219,0.316409,1.09781,0.387304,1.15683,2.98688
38,0.284874,0.292679,1.0274,0.585552,1.15683,1.97562
42,0.204423,0.301496,1.47486,0.387304,1.15683,2.98688
43,0.256136,0.31316,1.22263,0.387304,1.15683,2.98688
