Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.367033,0.660738,1.80022,0.0395712,1.23317,31.1634
3,0.392115,0.420663,1.07281,0.0599802,0.740434,12.3446
5,0.317712,0.441842,1.3907,0.0599802,0.814197,13.5744
7,0.423107,0.438379,1.0361,0.0599802,0.740434,12.3446
13,0.371298,0.431128,1.16114,0.0599802,0.814197,13.5744
14,0.410143,0.425343,1.03706,0.0599802,0.814197,13.5744
16,0.294767,0.421866,1.43118,0.0599802,1.08579,18.1026
17,0.30071,0.403323,1.34123,0.0599802,1.08579,18.1026
18,0.214131,0.423528,1.97789,0.0599802,0.814197,13.5744
19,0.310389,0.412233,1.32812,0.0599802,0.814197,13.5744
20,0.338892,0.413736,1.22085,0.0599802,1.08579,18.1026
22,0.25295,0.361546,1.42932,0.0599802,0.740434,12.3446
24,0.323018,0.371701,1.15072,0.0599802,1.08579,18.1026
26,0.352469,0.377183,1.07012,0.0599802,0.814197,13.5744
27,0.3295,0.371411,1.1272,0.0599802,0.740434,12.3446
