Cluster, Core Distance
0,0.575974,
2,0.364456,
3,0.372717,
4,0.393021,
6,0.417354,
8,0.368639,
11,0.394228,
15,0.424147,
19,0.399978,
20,0.387207,
22,0.397289,
27,0.354804,
28,0.386807,
30,0.409464,
33,0.429022,
36,0.388418,
37,0.407289,
39,0.416896,
40,0.487736,
41,0.429316,
43,0.472401,
44,0.427133,
46,0.387263,
50,0.517692,
52,0.416196,
54,0.403661,
55,0.408994,
57,0.512057,
58,0.422521,
59,0.489043,
60,0.387197,
63,0.432208,
64,0.367896,
65,0.389429,
67,0.378288,
68,0.409006,
70,0.417833,
80,0.403739,
81,0.417358,
82,0.382622,
83,0.402137,
