Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.435349,0.689221,1.58315,0.0395712,1.20093,30.3485
2,0.271456,0.44851,1.65224,0.0395712,1.08579,27.439
5,0.392115,0.420663,1.07281,0.573204,0.814197,1.42043
7,0.25295,0.408811,1.61617,0.290861,0.814197,2.79927
8,0.317712,0.391312,1.23166,0.573204,0.814197,1.42043
10,0.419316,0.438379,1.04546,0.0395712,1.08579,27.439
16,0.431971,0.432113,1.00033,0.573204,0.814197,1.42043
18,0.371298,0.434988,1.17153,0.0856528,1.08579,12.6767
19,0.320797,0.428817,1.33673,0.0395712,1.14404,28.9109
22,0.294767,0.421866,1.43118,0.0395712,1.08579,27.439
23,0.30071,0.403323,1.34123,0.0856528,1.08579,12.6767
