Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.200501,0.839303,4.18602,0.0302226,1.38414,45.7984
6,0.209774,0.277648,1.32355,0.0302226,1.29482,42.8428
7,0.174304,0.277486,1.59197,0.0765173,1.04349,13.6374
8,0.0972841,0.272835,2.80452,0.0765173,1.21895,15.9304
9,0.245852,0.272585,1.10874,0.0765173,0.500609,6.54242
10,0.20674,0.259125,1.25338,0.0765173,1.04349,13.6374
13,0.151467,0.213874,1.41201,0.0765173,0.736034,9.61918
14,0.135068,0.195445,1.44702,0.0765173,0.538224,7.03402
15,0.0795661,0.198016,2.4887,0.0765173,1.21895,15.9304
