Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,1.41421,33.6749,23.8118,0,361.936,inf
4,6.40312,11.6619,1.82128,0,54.827,inf
6,8.12404,11.1803,1.3762,4.3589,44.6654,10.247
7,3,10.8628,3.62093,0,361.936,inf
10,1.73205,4.3589,2.51661,0,361.936,inf
11,3,4.24264,1.41421,4.3589,44.6654,10.247
13,2,3.4641,1.73205,0,54.827,inf
14,1.73205,3.4641,2,0,54.827,inf
16,2,3.16228,1.58114,4.3589,33.121,7.59848
17,2.44949,3.31662,1.35401,4.3589,44.6654,10.247
22,1.73205,2.44949,1.41421,4.3589,44.6654,10.247
24,2,2.23607,1.11803,4.3589,33.121,7.59848
25,1.41421,2,1.41421,4.3589,44.6654,10.247
27,1.73205,2,1.1547,0,54.827,inf
29,1.73205,2,1.1547,0,54.827,inf
30,1.73205,2,1.1547,0,54.827,inf
32,1.73205,2,1.1547,0,54.827,inf
33,1.73205,1.73205,1,4.3589,33.121,7.59848
34,1.41421,2,1.41421,0,361.936,inf
35,1.73205,1.73205,1,4.3589,33.121,7.59848
37,1.73205,1.73205,1,4.3589,54.827,12.5782
38,1.41421,1.73205,1.22474,0,361.936,inf
47,1.41421,1.41421,1,4.3589,33.121,7.59848
50,0,0,-nan,4.3589,33.121,7.59848
51,1,1,1,4.3589,33.121,7.59848
52,0,0,-nan,4.3589,33.121,7.59848
53,1,1,1,4.3589,33.121,7.59848
54,1,1,1,4.3589,54.827,12.5782
55,1,1,1,4.3589,33.121,7.59848
