Cluster, Core Distance
0,0.586237,
2,0.442735,
3,0.363629,
7,0.370518,
9,0.352499,
10,0.401593,
12,0.485221,
14,0.350256,
17,0.377844,
19,0.386602,
21,0.419697,
28,0.396863,
29,0.452724,
30,0.400387,
31,0.397128,
33,0.390622,
40,0.407971,
42,0.467308,
45,0.405266,
46,0.335249,
47,0.428244,
52,0.432399,
55,0.471162,
56,0.396587,
57,0.442822,
58,0.427275,
60,0.433471,
63,0.383437,
64,0.402873,
65,0.393365,
66,0.367532,
67,0.396373,
70,0.397608,
75,0.411438,
76,0.370099,
78,0.394212,
79,0.453474,
80,0.349398,
81,0.461592,
82,0.423159,
84,0.415137,
85,0.432336,
