Cluster, Core Distance
0,0.57367,
2,0.410252,
3,0.360654,
4,0.531718,
6,0.358378,
11,0.380712,
13,0.492446,
14,0.355528,
16,0.400306,
19,0.373841,
20,0.472717,
22,0.385211,
25,0.423968,
26,0.329053,
28,0.398807,
31,0.452618,
34,0.363482,
37,0.441884,
39,0.350569,
44,0.461563,
46,0.403247,
47,0.398553,
49,0.480217,
50,0.448733,
52,0.36406,
54,0.403768,
55,0.46284,
57,0.430112,
58,0.385135,
59,0.372804,
60,0.508424,
61,0.372154,
63,0.377465,
64,0.494201,
68,0.48238,
76,0.432319,
77,0.396063,
78,0.359934,
79,0.368641,
80,0.356528,
81,0.358481,
