Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,,,,,,
0,0.172462,0.602843,3.49551,0.0278862,1.40535,50.396,,,Column 1,,,Column 1
2,0.446145,0.447924,1.00399,0.0980363,1.07443,10.9595,,Mean,13.0992191489362,,Mean,12.2884195652174
4,0.368429,0.385021,1.04504,0.0980363,1.07443,10.9595,,Standard Error,0.827958872576112,,Standard Error,0.171375915382343
7,0.32862,0.365447,1.11206,0.0980363,1.07443,10.9595,,Mode,10.9595,,Mode,10.9595
8,0.238628,0.342529,1.43541,0.0980363,1.22934,12.5397,,Median,12.5397,,Median,12.5397
11,0.269572,0.33454,1.24101,0.0980363,1.07443,10.9595,,First Quartile ,10.9595,,First Quartile ,10.9595
12,0.330721,0.344094,1.04043,0.0980363,1.07443,10.9595,,Third Quartile,13.1305,,Third Quartile,13.1305
15,0.304644,0.35583,1.16802,0.0947828,1.24454,13.1305,,Variance,32.2192470498428,,Variance,1.35100640116425
20,0.313745,0.348963,1.11225,0.0980363,1.22934,12.5397,,Standard Deviation,5.67620005371928,,Standard Deviation,1.1623280092832
21,0.2166,0.349979,1.61578,0.0947828,1.24454,13.1305,,Kurtosis,42.9741668960569,,Kurtosis,-0.726661749550473
24,0.320496,0.346731,1.08186,0.0980363,1.22934,12.5397,,Skewness,6.42203485707275,,Skewness,0.263740022301829
27,0.205855,0.344462,1.67332,0.0980363,1.22934,12.5397,,Range,39.4365,,Range,4.012
33,0.292765,0.342541,1.17002,0.0980363,1.07443,10.9595,,Minimum,10.9595,,Minimum,10.9595
38,0.228922,0.34189,1.49348,0.0947828,1.24454,13.1305,,Maximum,50.396,,Maximum,14.9715
41,0.294429,0.337775,1.14722,0.086024,1.24454,14.4674,,Sum,615.6633,,Sum,565.2673
42,0.255859,0.334627,1.30786,0.0980363,1.07443,10.9595,,Count,47,,Count,46
43,0.303538,0.317489,1.04596,0.0980363,1.07443,10.9595,,,,,,
44,0.241325,0.337457,1.39835,0.086024,1.24454,14.4674,,,,,,
45,0.312189,0.328793,1.05319,0.0980363,1.07443,10.9595,,,,,,
46,0.314145,0.332729,1.05916,0.0980363,1.22934,12.5397,,,Column 1,,,Column 1
49,0.311605,0.327297,1.05036,0.0980363,1.22934,12.5397,,Mean,1.55264276595745,,Mean,1.51040652173913
50,0.254805,0.325536,1.27759,0.0947828,1.24454,13.1305,,Standard Error,0.174043314383413,,Standard Error,0.172551906710675
54,0.165014,0.321248,1.94679,0.0947828,1.24454,13.1305,,Mode,#VALUE!,,Mode,#VALUE!
55,0.324555,0.331778,1.02225,0.0980363,1.07443,10.9595,,Median,1.24101,,Median,1.22993
57,0.314534,0.318868,1.01378,0.0980363,1.07443,10.9595,,First Quartile ,1.07282,,First Quartile ,1.069905
58,0.295993,0.319274,1.07865,0.0980363,1.22934,12.5397,,Third Quartile,1.464445,,Third Quartile,1.426145
59,0.237476,0.289448,1.21885,0.0947828,1.24454,13.1305,,Variance,1.42368053823349,,Variance,1.36961138343652
61,0.0268046,0.232052,8.65717,0.086024,1.24454,14.4674,,Standard Deviation,1.19318084892169,,Standard Deviation,1.17030397052925
64,0.309319,0.314535,1.01686,0.0980363,1.22934,12.5397,,Kurtosis,28.3425263048403,,Kurtosis,32.3890113198299
65,0.190802,0.325289,1.70485,0.0947828,1.24454,13.1305,,Skewness,4.98586764511692,,Skewness,5.41359835498541
66,0.124554,0.321053,2.57762,0.0947828,1.24454,13.1305,,Range,7.65318,,Range,7.65318
68,0.210744,0.29102,1.38091,0.0980363,1.22934,12.5397,,Minimum,1.00399,,Minimum,1.00399
70,0.265322,0.314852,1.18668,0.0947828,1.24454,13.1305,,Maximum,8.65717,,Maximum,8.65717
71,0.259161,0.269625,1.04037,0.0980363,1.07443,10.9595,,Sum,72.97421,,Sum,69.4787
72,0.194698,0.258125,1.32577,0.0980363,1.07443,10.9595,,Count,47,,Count,46
73,0.174446,0.300716,1.72383,0.0947828,1.24454,13.1305,,,,,,
78,0.227097,0.276353,1.21689,0.0980363,1.22934,12.5397,,,,,,
79,0.220741,0.240107,1.08773,0.0980363,1.07443,10.9595,,,,,,
82,0.203595,0.269041,1.32145,0.0980363,1.22934,12.5397,,,,,,
85,0.194378,0.249146,1.28176,0.0980363,1.07443,10.9595,,,,,,
86,0.160775,0.218125,1.35671,0.0980363,1.07443,10.9595,,,,,,
91,0.130521,0.172814,1.32403,0.0947828,1.24454,13.1305,,,,,,
92,0.12487,0.160331,1.28398,0.0980363,1.07443,10.9595,,,,,,
93,0.102667,0.191556,1.8658,0.0980363,1.22934,12.5397,,,,,,
94,0.162892,0.173804,1.06699,0.0980363,1.22934,12.5397,,,,,,
96,0.047039,0.169014,3.59307,0.086024,1.28791,14.9715,,,,,,
97,0.0875309,0.144737,1.65355,0.0947828,1.24454,13.1305,,,,,,
