Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.321535,0.703419,2.18769,0.0326298,1.38632,42.4863
3,0.379246,0.48096,1.2682,0.0326298,0.613704,18.8081
5,0.249988,0.426764,1.70714,0.0326298,0.613704,18.8081
6,0.313026,0.445122,1.422,0.0326298,1.0833,33.1998
9,0.388313,0.408413,1.05176,0.0326298,0.613704,18.8081
11,0.365043,0.41189,1.12833,0.0326298,1.03369,31.6792
12,0.374186,0.409874,1.09538,0.0326298,0.613704,18.8081
14,0.358534,0.400404,1.11678,0.0326298,1.03369,31.6792
19,0.401274,0.411259,1.02488,0.0326298,0.613704,18.8081
23,0.297212,0.397298,1.33675,0.0326298,1.04501,32.0264
26,0.369015,0.406363,1.10121,0.0326298,0.613704,18.8081
28,0.232837,0.417377,1.79257,0.0326298,1.19516,36.6279
30,0.330326,0.362681,1.09795,0.0326298,0.613704,18.8081
33,0.359964,0.411785,1.14396,0.0326298,1.0833,33.1998
34,0.375437,0.382788,1.01958,0.0326298,0.613704,18.8081
36,0.365845,0.388771,1.06267,0.0326298,1.03369,31.6792
37,0.375184,0.39999,1.06612,0.0326298,0.613704,18.8081
38,0.335447,0.392705,1.17069,0.0326298,0.613704,18.8081
40,0.338543,0.385907,1.1399,0.0326298,0.613704,18.8081
43,0.159329,0.38271,2.40202,0.0326298,1.03369,31.6792
46,0.30599,0.385541,1.25998,0.0326298,1.03369,31.6792
47,0.353872,0.398667,1.12659,0.0326298,1.1644,35.6852
48,0.113941,0.377567,3.31369,0.0326298,1.0833,33.1998
52,0.236561,0.345132,1.45896,0.0326298,1.03369,31.6792
53,0.220672,0.274043,1.24186,0.0326298,0.613704,18.8081
54,0.202184,0.202821,1.00315,0.0326298,0.613704,18.8081
55,0.350576,0.354554,1.01135,0.0326298,0.613704,18.8081
56,0.222658,0.312711,1.40445,0.0326298,1.03369,31.6792
57,0.09608,0.312505,3.25255,0.0326298,1.0833,33.1998
