Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.25355,0.565136,2.22889,0.0555862,1.32203,23.7834
2,0.354437,0.386383,1.09013,0.343539,0.734942,2.13933
5,0.325617,0.358914,1.10226,0.466756,0.723302,1.54964
9,0.337253,0.345598,1.02474,0.466756,0.723302,1.54964
11,0.246494,0.287411,1.166,0.343539,0.734942,2.13933
13,0.335514,0.350196,1.04376,0.35418,0.723302,2.04219
14,0.292892,0.344362,1.17573,0.35418,0.723302,2.04219
16,0.280072,0.316403,1.12972,0.466756,0.723302,1.54964
17,0.259771,0.345369,1.32951,0.304264,0.750311,2.46599
19,0.0955231,0.132028,1.38216,0.466756,0.723302,1.54964
20,0.19245,0.336111,1.74649,0.151838,1.26064,8.30249
23,0.255716,0.335947,1.31375,0.466756,0.723302,1.54964
24,0.259963,0.34157,1.31392,0.35418,0.723302,2.04219
30,0.24432,0.334289,1.36825,0.343539,0.734942,2.13933
32,0.144233,0.269761,1.87032,0.35418,0.723302,2.04219
34,0.201826,0.308,1.52607,0.343539,0.734942,2.13933
37,0.290277,0.31718,1.09268,0.35418,0.723302,2.04219
38,0.25411,0.25972,1.02207,0.466756,0.723302,1.54964
42,0.293689,0.326075,1.11027,0.343539,0.734942,2.13933
46,0.151944,0.321227,2.11412,0.304264,1.13274,3.7229
49,0.261034,0.321902,1.23318,0.304264,0.734942,2.41548
50,0.165596,0.29613,1.78827,0.35418,0.723302,2.04219
52,0.27775,0.320459,1.15377,0.466756,0.723302,1.54964
56,0.212459,0.253872,1.19492,0.35418,0.723302,2.04219
57,0.304385,0.31371,1.03064,0.466756,0.723302,1.54964
58,0.227418,0.304089,1.33714,0.304264,0.734942,2.41548
62,0.301937,0.312637,1.03544,0.35418,0.723302,2.04219
66,0.214656,0.29668,1.38212,0.304264,0.734942,2.41548
67,0.238304,0.303053,1.27171,0.343539,0.734942,2.13933
68,0.253596,0.299103,1.17945,0.343539,0.734942,2.13933
69,0.27149,0.312602,1.15143,0.35418,0.723302,2.04219
71,0.245824,0.310211,1.26192,0.343539,0.734942,2.13933
74,0.298172,0.306714,1.02865,0.466756,0.723302,1.54964
76,0.237531,0.298096,1.25498,0.304264,0.734942,2.41548
77,0.255897,0.280688,1.09688,0.466756,0.723302,1.54964
78,0.247839,0.286423,1.15568,0.343539,0.734942,2.13933
80,0.27052,0.287647,1.06331,0.35418,0.723302,2.04219
81,0.195627,0.292936,1.49742,0.304264,1.13274,3.7229
83,0.242162,0.298883,1.23423,0.304264,0.750311,2.46599
86,0.145311,0.278322,1.91535,0.304264,1.13274,3.7229
87,0.250501,0.288258,1.15073,0.304264,0.750311,2.46599
88,0.226529,0.285896,1.26207,0.304264,1.13274,3.7229
89,0.163939,0.284503,1.73542,0.304264,0.750311,2.46599
92,0.191199,0.197718,1.03409,0.466756,0.723302,1.54964
93,0.136781,0.240111,1.75543,0.343539,0.734942,2.13933
96,0.171309,0.252226,1.47234,0.343539,0.734942,2.13933
97,0.103757,0.226325,2.18129,0.304264,0.750311,2.46599
