Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.370062,0.703419,1.90081,0.0326298,1.38632,42.4863
2,0.379246,0.53683,1.41552,0.0326298,0.613704,18.8081
5,0.249988,0.426764,1.70714,0.0326298,0.613704,18.8081
7,0.41189,0.435797,1.05804,0.0326298,1.03369,31.6792
8,0.414886,0.461334,1.11195,0.0326298,1.14827,35.191
12,0.369015,0.406363,1.10121,0.0326298,0.613704,18.8081
16,0.417773,0.440389,1.05413,0.0326298,1.03369,31.6792
17,0.330326,0.362681,1.09795,0.0326298,0.613704,18.8081
21,0.359964,0.360531,1.00158,0.0326298,0.613704,18.8081
23,0.388313,0.408413,1.05176,0.0326298,0.613704,18.8081
24,0.40215,0.426308,1.06007,0.0326298,0.613704,18.8081
26,0.374186,0.409874,1.09538,0.0326298,0.613704,18.8081
29,0.365845,0.419135,1.14566,0.0326298,1.17698,36.0707
33,0.401274,0.411259,1.02488,0.0326298,0.613704,18.8081
34,0.236561,0.379018,1.6022,0.0326298,1.03369,31.6792
36,0.335447,0.410481,1.22368,0.0326298,0.613704,18.8081
37,0.30308,0.399275,1.31739,0.0326298,1.03369,31.6792
38,0.232837,0.417377,1.79257,0.0326298,1.21941,37.3712
39,0.338543,0.408839,1.20764,0.0326298,1.09149,33.4506
40,0.375437,0.382788,1.01958,0.0326298,0.613704,18.8081
45,0.159329,0.38271,2.40202,0.0326298,1.03369,31.6792
48,0.30599,0.385541,1.25998,0.0326298,1.03369,31.6792
49,0.353872,0.386083,1.09102,0.0326298,1.09149,33.4506
50,0.113941,0.377567,3.31369,0.0326298,1.09149,33.4506
54,0.312505,0.370962,1.18706,0.0326298,1.09149,33.4506
55,0.222658,0.34368,1.54354,0.0326298,1.03369,31.6792
56,0.202184,0.202821,1.00315,0.0326298,0.613704,18.8081
57,0.350576,0.354554,1.01135,0.0326298,0.613704,18.8081
