Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.302455,0.602843,1.99316,0.0281391,1.40003,49.7538
2,0.446145,0.447924,1.00399,0.0980363,1.07443,10.9595
4,0.368429,0.385021,1.04504,0.0980363,1.07443,10.9595
7,0.32862,0.365447,1.11206,0.0980363,1.07443,10.9595
8,0.238628,0.342529,1.43541,0.0980363,1.22934,12.5397
11,0.269572,0.33454,1.24101,0.0980363,1.07443,10.9595
12,0.330721,0.344094,1.04043,0.0980363,1.07443,10.9595
15,0.304644,0.35583,1.16802,0.0947828,1.24454,13.1305
20,0.313745,0.348963,1.11225,0.0980363,1.22934,12.5397
21,0.2166,0.349979,1.61578,0.0947828,1.24454,13.1305
24,0.320496,0.346731,1.08186,0.0980363,1.22934,12.5397
27,0.205855,0.344462,1.67332,0.0980363,1.22934,12.5397
35,0.292765,0.342541,1.17002,0.0980363,1.07443,10.9595
40,0.228922,0.34189,1.49348,0.0947828,1.24454,13.1305
44,0.0875309,0.224718,2.5673,0.0947828,1.24454,13.1305
45,0.294429,0.337775,1.14722,0.086024,1.24454,14.4674
46,0.255859,0.334627,1.30786,0.0980363,1.07443,10.9595
47,0.303538,0.317489,1.04596,0.0980363,1.07443,10.9595
48,0.160775,0.218125,1.35671,0.0980363,1.07443,10.9595
49,0.130521,0.328859,2.51959,0.0947828,1.24454,13.1305
51,0.314534,0.334339,1.06297,0.0947828,1.24454,13.1305
52,0.241325,0.337457,1.39835,0.086024,1.24454,14.4674
53,0.312189,0.328793,1.05319,0.0980363,1.07443,10.9595
58,0.124554,0.326333,2.62002,0.0947828,1.24454,13.1305
59,0.31727,0.320013,1.00865,0.0980363,1.07443,10.9595
60,0.314145,0.332729,1.05916,0.0980363,1.22934,12.5397
61,0.325104,0.328696,1.01105,0.0980363,1.07443,10.9595
63,0.311605,0.327297,1.05036,0.0980363,1.22934,12.5397
64,0.254805,0.325536,1.27759,0.0947828,1.24454,13.1305
66,0.220741,0.309796,1.40344,0.0947828,1.24454,13.1305
68,0.165014,0.321248,1.94679,0.0947828,1.24454,13.1305
69,0.324555,0.331778,1.02225,0.0980363,1.07443,10.9595
70,0.295993,0.319274,1.07865,0.0980363,1.22934,12.5397
71,0.237476,0.289448,1.21885,0.0947828,1.24454,13.1305
73,0.0268046,0.232052,8.65717,0.086024,1.24454,14.4674
74,0.309319,0.314535,1.01686,0.0980363,1.22934,12.5397
75,0.190802,0.325289,1.70485,0.0947828,1.24454,13.1305
76,0.210744,0.29102,1.38091,0.0980363,1.22934,12.5397
78,0.265322,0.314852,1.18668,0.0947828,1.24454,13.1305
79,0.259161,0.269625,1.04037,0.0980363,1.07443,10.9595
80,0.194698,0.258125,1.32577,0.0980363,1.07443,10.9595
81,0.174446,0.300716,1.72383,0.0947828,1.24454,13.1305
