Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.273149,0.592215,2.1681,0.0564281,1.36736,24.2319
2,0.199116,0.367024,1.84327,0.423503,1.18788,2.80489
5,0.269607,0.345798,1.2826,0.183231,1.24067,6.7711
6,0.306063,0.323473,1.05688,0.423503,1.06724,2.52003
8,0.166848,0.34498,2.06762,0.130793,1.24067,9.48575
11,0.221414,0.322132,1.45488,0.423503,1.23762,2.92235
14,0.102761,0.33828,3.2919,0.183231,1.24067,6.7711
16,0.215276,0.272111,1.26401,0.201517,1.24067,6.15668
18,0.277274,0.331191,1.19446,0.130793,1.24067,9.48575
23,0.260419,0.336111,1.29066,0.183231,1.24067,6.7711
25,0.285825,0.324902,1.13671,0.423503,1.06724,2.52003
27,0.143102,0.301956,2.11008,0.423503,1.23762,2.92235
34,0.164164,0.333387,2.03082,0.130793,1.24067,9.48575
36,0.282684,0.295967,1.04699,0.423503,1.06724,2.52003
41,0.280558,0.320996,1.14413,0.183231,1.24067,6.7711
42,0.288333,0.326457,1.13222,0.201517,1.24067,6.15668
43,0.289553,0.326402,1.12726,0.183231,1.24067,6.7711
46,0.289685,0.301587,1.04109,0.423503,1.06724,2.52003
48,0.29814,0.303861,1.01919,0.423503,1.06724,2.52003
50,0.164044,0.311951,1.90163,0.183231,1.24067,6.7711
52,0.246183,0.285867,1.1612,0.423503,1.23762,2.92235
53,0.261383,0.313042,1.19763,0.423503,1.23762,2.92235
54,0.269327,0.307137,1.14039,0.423503,1.06724,2.52003
56,0.205165,0.292159,1.42401,0.183231,1.24067,6.7711
57,0.251838,0.300442,1.193,0.423503,1.18788,2.80489
58,0.22049,0.267683,1.21404,0.423503,1.18788,2.80489
60,0.179304,0.298193,1.66306,0.130793,1.24067,9.48575
61,0.281602,0.293437,1.04203,0.423503,1.23762,2.92235
63,0.221985,0.263634,1.18762,0.423503,1.18788,2.80489
64,0.182331,0.268912,1.47486,0.423503,1.18788,2.80489
65,0.180607,0.239228,1.32458,0.423503,1.18788,2.80489
66,0.228867,0.253755,1.10874,0.423503,1.18788,2.80489
67,0.208834,0.280055,1.34104,0.183231,1.24067,6.7711
68,0.138791,0.246601,1.77678,0.423503,1.23762,2.92235
69,0.197233,0.272619,1.38222,0.183231,1.24067,6.7711
