Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio
0,0.338365,0.857949,2.53557,0.0106622,1.3075,122.63
2,0.399192,0.429079,1.07487,0.485548,0.548229,1.1291
5,0.306351,0.317995,1.03801,0.485548,0.548229,1.1291
7,0.367346,0.393117,1.07015,0.485548,0.548229,1.1291
10,0.290422,0.325359,1.1203,0.122957,0.991463,8.06348
13,0.367035,0.375215,1.02229,0.485548,0.548229,1.1291
15,0.33531,0.381782,1.13859,0.485548,0.991463,2.04195
16,0.362179,0.381759,1.05406,0.330352,0.991463,3.00124
19,0.357215,0.358755,1.00431,0.485548,0.548229,1.1291
20,0.320122,0.339588,1.06081,0.485548,0.548229,1.1291
22,0.24979,0.368506,1.47526,0.485548,0.991463,2.04195
23,0.264522,0.333645,1.26131,0.330352,0.991463,3.00124
25,0.333015,0.368539,1.10667,0.485548,0.548229,1.1291
26,0.318805,0.347279,1.08931,0.485548,0.548229,1.1291
28,0.325244,0.351285,1.08007,0.485548,0.991463,2.04195
30,0.326511,0.365516,1.11946,0.122957,1.17993,9.59625
34,0.271024,0.364352,1.34435,0.122957,1.17993,9.59625
35,0.233673,0.363283,1.55466,0.122957,1.19134,9.68906
36,0.342701,0.360299,1.05135,0.330352,0.991463,3.00124
39,0.344723,0.351618,1.02,0.485548,0.991463,2.04195
41,0.27763,0.351749,1.26697,0.122957,1.17993,9.59625
42,0.300674,0.331064,1.10107,0.485548,0.991463,2.04195
44,0.30466,0.343797,1.12846,0.122957,1.07259,8.7233
46,0.324634,0.344129,1.06005,0.485548,0.548229,1.1291
47,0.333898,0.340853,1.02083,0.485548,0.991463,2.04195
