Cluster, Min Core Distance, Max Core Distance, Core Distance Ratio, Min Distance, Max Distance, Distance Ratio,Core Distance Confidence,Distance Confidence,,,,,,
286,0.188414,0.194142,1.0304,0.414545,0.497601,1.20035,63.34%,97.46%,,,,,,
290,0.156947,0.197135,1.25606,0.380356,0.586861,1.54293,55.31%,96.74%,,,,,,
291,0.125303,0.186659,1.48966,0.116808,1.07495,9.20275,47.00%,80.56%,,,,,,
292,0.172139,0.196665,1.14248,0.129859,0.586861,4.51921,59.35%,90.45%,,,,,,
293,0.100442,0.198281,1.97409,0.0463776,1.13797,24.537,29.76%,48.17%,,,,,,
294,0.16073,0.178107,1.10811,0.414545,0.497601,1.20035,60.57%,97.46%,,,,,,
295,0.116299,0.192604,1.65611,0.0888899,1.08533,12.2099,41.08%,74.21%,,,,,,
300,0.129266,0.186449,1.44236,0.129859,0.70693,5.44381,48.68%,88.50%,,,,,,
301,0.158122,0.191171,1.20901,0.380356,0.586861,1.54293,56.98%,96.74%,,,,,,
304,0.14763,0.157495,1.06682,0.414545,0.497601,1.20035,62.04%,97.46%,,,,,,
305,0.111684,0.174689,1.56413,0.129859,0.70693,5.44381,44.35%,88.50%,,,,,,
