Cluster, Core Distance
0,0.55196,
2,0.351056,
3,0.348537,
5,0.379875,
6,0.380504,
8,0.345125,
10,0.405805,
12,0.409807,
16,0.383536,
19,0.479463,
20,0.402045,
23,0.36218,
25,0.41814,
27,0.480399,
29,0.383385,
31,0.368407,
33,0.393381,
34,0.388688,
36,0.501226,
38,0.372087,
39,0.462426,
42,0.40124,
46,0.374076,
48,0.409291,
51,0.38483,
53,0.393151,
54,0.386536,
55,0.395291,
56,0.406099,
59,0.383157,
62,0.388448,
64,0.409094,
66,0.346336,
67,0.500907,
69,0.391411,
72,0.390718,
76,0.402696,
77,0.45782,
78,0.478667,
79,0.335454,
80,0.42237,
81,0.311616,
