Cluster, Core Distance
0,0.541261,
2,0.334367,
3,0.3667,
5,0.368371,
6,0.342644,
8,0.364124,
15,0.383688,
17,0.376979,
18,0.426024,
21,0.327154,
22,0.345357,
25,0.364708,
26,0.320992,
27,0.381301,
29,0.372877,
33,0.329165,
34,0.320923,
35,0.325353,
39,0.300777,
41,0.345921,
43,0.308054,
44,0.317967,
45,0.37392,
48,0.324078,
49,0.265734,
50,0.37525,
56,0.321569,
57,0.300094,
58,0.335614,
61,0.403486,
63,0.397313,
64,0.373369,
66,0.366925,
67,0.35765,
70,0.304169,
71,0.344652,
72,0.348253,
73,0.399561,
74,0.291191,
75,0.345011,
