Cluster, Core Distance
0,0.57177,
2,0.375562,
3,0.356142,
4,0.438626,
6,0.359642,
9,0.377438,
12,0.371642,
14,0.489561,
16,0.379979,
19,0.423405,
20,0.351023,
23,0.383282,
26,0.379934,
29,0.372228,
31,0.394212,
33,0.433779,
34,0.377377,
36,0.397931,
38,0.402383,
39,0.441437,
42,0.405276,
44,0.359762,
46,0.326891,
49,0.426551,
50,0.467119,
51,0.412797,
52,0.343947,
53,0.448439,
55,0.418118,
56,0.467795,
59,0.410982,
60,0.357072,
62,0.502903,
65,0.457612,
68,0.481155,
74,0.425078,
75,0.490894,
76,0.375683,
77,0.347363,
78,0.39431,
79,0.372204,
