Cluster, Core Distance
0,0.481879,
2,0.312199,
3,0.314541,
8,0.333506,
10,0.302701,
12,0.298152,
14,0.302857,
16,0.311284,
18,0.308728,
19,0.312323,
20,0.370946,
21,0.286794,
23,0.345347,
27,0.371161,
33,0.295979,
35,0.319798,
36,0.272844,
38,0.318395,
41,0.303959,
42,0.335531,
44,0.354838,
46,0.288269,
49,0.324274,
52,0.359713,
56,0.284068,
57,0.317013,
59,0.362725,
62,0.295981,
63,0.347485,
65,0.257374,
66,0.265926,
67,0.386752,
70,0.367247,
71,0.26229,
73,0.262505,
76,0.311861,
78,0.301725,
79,0.29333,
80,0.338591,
81,0.384446,
84,0.330252,
86,0.333108,
88,0.317257,
89,0.298065,
